erk,R,P,C,label
0.6934562456,2.343571218,3.431909537,0.8132954946,stable
0.6959784775,2.307828977,3.414223303,0.8151624771,stable
0.6983346985,2.27243647,3.395811937,0.8169006102,stable
0.7005205984,2.23743535,3.376634757,0.8185079709,stable
0.7025317807,2.202868675,3.356655929,0.819982513,stable
0.7043639144,2.168780233,3.335845432,0.8213221726,stable
0.7060128925,2.135213707,3.314179949,0.8225249767,stable
0.7074749911,2.102211717,3.291643598,0.8235891507,stable
0.7087470173,2.069814775,3.268228444,0.8245132167,stable
0.7098264368,2.038060228,3.243934734,0.8252960778,stable
0.7107114714,2.006981252,3.218770817,0.8259370804,stable
0.7114011594,1.976605981,3.192752761,0.8264360517,stable
0.7118953747,1.946956828,3.165903673,0.8267933088,stable
0.7121948046,1.918050041,3.138252788,0.8270096403,stable
0.7123008898,1.889895522,3.109834395,0.8270862629,stable
0.712215734,1.862496901,3.080686678,0.827024758,saddle
0.711941991,1.835851833,3.050850547,0.826826994,saddle
0.7114827386,1.809952487,3.020368534,0.8264950404,saddle
0.710841349,1.784786161,2.989283796,0.8260310801,saddle
0.7100213622,1.76033598,2.957639269,0.825437324,saddle
0.7090263691,1.736581622,2.925476966,0.8247159328,saddle
0.7078599071,1.713500035,2.892837454,0.8238689469,saddle
0.7065253708,1.691066106,2.85975946,0.8228982264,saddle
0.7050259379,1.66925327,2.82627962,0.8218054016,saddle
0.7033645105,1.648034047,2.792432335,0.8205918324,saddle
0.701543669,1.627380491,2.758249719,0.8192585765,saddle
0.6995656382,1.607264573,2.72376161,0.8178063647,saddle
0.6974322631,1.587658476,2.688995642,0.8162355824,saddle
0.6951449926,1.568534837,2.653977342,0.8145462549,saddle
0.6927048694,1.549866924,2.618730261,0.8127380367,saddle
0.6901125247,1.531628764,2.583276115,0.8108102024,saddle
0.6873681755,1.513795233,2.547634931,0.8087616398,saddle
0.6844716257,1.496342109,2.511825198,0.806590842,saddle
0.6814222663,1.479246101,2.475864014,0.8042959008,saddle
0.6782190786,1.462484849,2.439767229,0.8018744984,saddle
0.6748606357,1.446036922,2.403549579,0.7993238986,saddle
0.6713451049,1.429881785,2.367224821,0.7966409356,saddle
0.6676702486,1.413999772,2.330805847,0.7938220019,saddle
0.6638334256,1.398372046,2.294304805,0.7908630338,saddle
0.6598315903,1.382980552,2.257733206,0.7877594946,saddle
0.6556612921,1.367807972,2.221102023,0.7845063553,saddle
0.651318673,1.352837676,2.184421791,0.7810980729,saddle
0.6467994657,1.338053674,2.147702698,0.7775285663,saddle
0.6420989898,1.323440564,2.110954675,0.7737911888,saddle
0.6372121484,1.30898349,2.074187479,0.7698786985,saddle
0.6321334247,1.294668087,2.037410779,0.7657832259,saddle
0.6268568779,1.280480445,2.00063424,0.7614962378,saddle
0.6213761411,1.266407059,1.963867602,0.7570085001,saddle
0.6156844194,1.252434792,1.927120768,0.7523100369,saddle
0.6097744901,1.238550835,1.890403885,0.7473900878,saddle
0.6036387056,1.224742672,1.853727435,0.7422370641,saddle
0.5972689998,1.210998044,1.817102323,0.736838503,saddle
0.5906568991,1.197304925,1.780539971,0.7311810222,saddle
0.5837935389,1.183651489,1.744052416,0.7252502752,saddle
0.576669688,1.170026092,1.707652416,0.7190309091,saddle
0.569275782,1.15641725,1.671353551,0.7125065267,saddle
0.5616019671,1.142813623,1.635170337,0.7056596556,saddle
0.5536381585,1.12920401,1.599118343,0.6984717269,saddle
0.5453741132,1.115577342,1.563214304,0.6909230685,saddle
0.5367995219,1.101922683,1.527476237,0.6829929156,saddle
0.5279041219,1.088229235,1.491923561,0.6746594467,saddle
0.5186778335,1.074486357,1.456577197,0.6658998492,saddle
0.5091109224,1.060683579,1.421459667,0.6566904236,saddle
0.4991941905,1.046810629,1.386595164,0.647006734,saddle
0.4889191945,1.032857459,1.352009602,0.6368238137,saddle
0.4782784935,1.018814281,1.317730618,0.6261164354,saddle
0.4672659216,1.004671592,1.28378753,0.6148594537,saddle
0.4558768815,0.9904201972,1.250211218,0.6030282268,saddle
0.4441086496,0.9760512247,1.217033936,0.5905991219,saddle
0.4319606825,0.9615561148,1.184289021,0.5775501037,saddle
0.4194349091,0.9469265816,1.152010505,0.563861399,saddle
0.4065359908,0.9321545327,1.120232601,0.549516227,saddle
0.3932715296,0.9172319342,1.088989097,0.5345015701,saddle
